,precision,recall,f1-score,support
accessibility_help,0.8333333333333334,1.0,0.9090909090909091,5.0
family_assistance,1.0,1.0,1.0,5.0
find_baggage,0.8333333333333334,1.0,0.9090909090909091,5.0
find_checkin,1.0,1.0,1.0,5.0
find_gate,0.8333333333333334,1.0,0.9090909090909091,5.0
find_information,1.0,0.8,0.8888888888888888,5.0
find_lounge,1.0,1.0,1.0,5.0
find_restaurant,1.0,1.0,1.0,5.0
find_security,1.0,0.6,0.75,5.0
find_transport,1.0,1.0,1.0,5.0
lost_property,0.8333333333333334,1.0,0.9090909090909091,5.0
opening_hours,1.0,1.0,1.0,5.0
transfer_help,1.0,1.0,1.0,5.0
travel_document_help,1.0,0.8,0.8888888888888888,5.0
accuracy,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428
macro avg,0.9523809523809524,0.942857142857143,0.9402958152958153,70.0
weighted avg,0.9523809523809522,0.9428571428571428,0.9402958152958153,70.0
