,precision,recall,f1-score,support
gate_sign,0.7,0.35,0.4666666666666667,20.0
baggage_claim,0.5909090909090909,0.65,0.6190476190476191,20.0
security,0.29411764705882354,0.25,0.2702702702702703,20.0
check_in,0.5294117647058824,0.45,0.4864864864864865,20.0
lounge,0.7,0.7,0.7,20.0
restaurant,0.5666666666666667,0.85,0.68,20.0
information,0.7894736842105263,0.75,0.7692307692307693,20.0
transport,0.7777777777777778,0.7,0.7368421052631579,20.0
accessibility,0.5,0.75,0.6,20.0
family_facility,0.8235294117647058,0.7,0.7567567567567568,20.0
accuracy,0.615,0.615,0.615,0.615
macro avg,0.6271886043093473,0.615,0.6085300673721726,200.0
weighted avg,0.6271886043093474,0.615,0.6085300673721727,200.0
