image,true_class,predicted_class,top1_correct,top3_correct,top1_score,top1_similarity,second_class,second_score,probability_margin,similarity_margin,confidence,accepted,abstained,unsafe_accepted_error,abstained_error,abstained_correct,top2_class,top3_class
images/lounge/lounge_009.jpg,lounge,restaurant,False,True,0.9198151230812073,0.31353241205215454,lounge,0.05855613946914673,0.8612589836120605,0.0275418758392334,confident,True,False,True,False,False,lounge,check_in
images/family_facility/family_facility_008.jpg,family_facility,accessibility,False,True,0.9183279275894165,0.3036404848098755,family_facility,0.04778052121400833,0.8705474063754082,0.02955937385559082,confident,True,False,True,False,False,family_facility,information
images/lounge/lounge_016.jpg,lounge,restaurant,False,True,0.8886124491691589,0.32490819692611694,lounge,0.10314823687076569,0.7854642122983932,0.02153494954109192,confident,True,False,True,False,False,lounge,family_facility
images/accessibility/accessibility_008.jpg,accessibility,family_facility,False,True,0.874278724193573,0.2879273593425751,accessibility,0.11790666729211807,0.7563720569014549,0.02003505825996399,confident,True,False,True,False,False,accessibility,gate_sign
images/gate_sign/gate_sign_014.jpg,gate_sign,lounge,False,False,0.8560786247253418,0.2942121624946594,accessibility,0.0686349868774414,0.7874436378479004,0.02523559331893921,confident,True,False,True,False,False,accessibility,restaurant
images/transport/transport_003.jpg,transport,baggage_claim,False,False,0.8499191999435425,0.325580358505249,security,0.04764939099550247,0.80226980894804,0.028812706470489502,confident,True,False,True,False,False,security,accessibility
images/gate_sign/gate_sign_017.jpg,gate_sign,lounge,False,False,0.8408477902412415,0.3286210596561432,family_facility,0.06642850488424301,0.7744192853569984,0.02538284659385681,confident,True,False,True,False,False,family_facility,restaurant
images/accessibility/accessibility_015.jpg,accessibility,information,False,False,0.8363030552864075,0.32228410243988037,check_in,0.08835743367671967,0.7479456216096878,0.022476017475128174,confident,True,False,True,False,False,check_in,gate_sign
images/check_in/check_in_020.jpg,check_in,baggage_claim,False,True,0.8302894830703735,0.3474360406398773,check_in,0.04931004345417023,0.7809794396162033,0.028236478567123413,confident,True,False,True,False,False,check_in,accessibility
images/information/information_004.jpg,information,security,False,False,0.8302474617958069,0.3346753418445587,check_in,0.08227605372667313,0.7479714080691338,0.02311643958091736,confident,True,False,True,False,False,check_in,accessibility
images/transport/transport_002.jpg,transport,accessibility,False,True,0.8285547494888306,0.31860965490341187,transport,0.151655912399292,0.6768988370895386,0.016980677843093872,confident,True,False,True,False,False,transport,baggage_claim
images/baggage_claim/baggage_claim_003.jpg,baggage_claim,security,False,True,0.7671883702278137,0.30669426918029785,check_in,0.1335953027009964,0.6335930675268173,0.01747918128967285,confident,True,False,True,False,False,check_in,baggage_claim
images/family_facility/family_facility_005.jpg,family_facility,accessibility,False,True,0.72382652759552,0.26855742931365967,transport,0.09181469678878784,0.6320118308067322,0.020647794008255005,confident,True,False,True,False,False,transport,family_facility
images/security/security_005.jpg,security,restaurant,False,False,0.7124314308166504,0.32665616273880005,information,0.11603400111198425,0.5963974297046661,0.01814800500869751,confident,True,False,True,False,False,information,check_in
images/restaurant/restaurant_013.jpg,restaurant,transport,False,False,0.6900972127914429,0.2119562327861786,family_facility,0.15428487956523895,0.5358123332262039,0.014980316162109375,caution,True,False,True,False,False,family_facility,accessibility
images/check_in/check_in_006.jpg,check_in,security,False,True,0.6750892996788025,0.3183429539203644,check_in,0.13094443082809448,0.544144868850708,0.01640072464942932,caution,True,False,True,False,False,check_in,baggage_claim
images/gate_sign/gate_sign_012.jpg,gate_sign,lounge,False,False,0.6559379696846008,0.287554532289505,family_facility,0.23847158253192902,0.4174663871526718,0.010118156671524048,caution,True,False,True,False,False,family_facility,restaurant
images/gate_sign/gate_sign_007.jpg,gate_sign,security,False,False,0.6378328800201416,0.33113908767700195,accessibility,0.32131272554397583,0.31652015447616577,0.0068566203117370605,caution,True,False,True,False,False,accessibility,family_facility
images/transport/transport_020.jpg,transport,accessibility,False,True,0.6199711561203003,0.302406370639801,transport,0.3443715572357178,0.2755995988845825,0.005879521369934082,caution,True,False,True,False,False,transport,baggage_claim
images/accessibility/accessibility_019.jpg,accessibility,transport,False,True,0.6043741703033447,0.2740462124347687,accessibility,0.21379393339157104,0.3905802369117737,0.010391801595687866,caution,True,False,True,False,False,accessibility,security
images/security/security_016.jpg,security,restaurant,False,False,0.5997248888015747,0.2860792875289917,gate_sign,0.13614661991596222,0.4635782688856125,0.014827370643615723,caution,True,False,True,False,False,gate_sign,information
images/security/security_003.jpg,security,check_in,False,False,0.5959857702255249,0.33012205362319946,information,0.18662887811660767,0.40935689210891724,0.011610925197601318,caution,True,False,True,False,False,information,restaurant
images/information/information_018.jpg,information,check_in,False,True,0.5733804106712341,0.31848809123039246,security,0.14051182568073273,0.4328685849905014,0.014062583446502686,caution,True,False,True,False,False,security,information
images/gate_sign/gate_sign_016.jpg,gate_sign,lounge,False,False,0.5675562024116516,0.30637842416763306,family_facility,0.15280315279960632,0.4147530496120453,0.01312190294265747,caution,True,False,True,False,False,family_facility,accessibility
images/gate_sign/gate_sign_006.jpg,gate_sign,accessibility,False,False,0.5661693215370178,0.33114051818847656,check_in,0.1018141433596611,0.4643551781773567,0.017157435417175293,caution,True,False,True,False,False,check_in,family_facility
images/lounge/lounge_005.jpg,lounge,restaurant,False,True,0.5645259022712708,0.3247245252132416,lounge,0.13804620504379272,0.426479697227478,0.014083951711654663,caution,True,False,True,False,False,lounge,check_in
images/gate_sign/gate_sign_011.jpg,gate_sign,restaurant,False,False,0.5640354156494141,0.3143155872821808,family_facility,0.11585328727960587,0.4481821283698082,0.015827924013137817,caution,True,False,True,False,False,family_facility,accessibility
images/lounge/lounge_002.jpg,lounge,restaurant,False,True,0.5631228685379028,0.3264520764350891,lounge,0.37505772709846497,0.18806514143943787,0.0040641725063323975,caution,True,False,True,False,False,lounge,family_facility
