class,images,top1_accuracy,top3_accuracy,mean_score,mean_margin,acceptance_rate,accepted_accuracy
gate_sign,20,0.35,0.45,0.5833192862570286,0.4079170792363584,0.6,0.4166666666666667
baggage_claim,20,0.65,0.95,0.6135493829846382,0.46298441106919197,0.65,0.9230769230769231
security,20,0.25,0.6,0.5116643875837326,0.2895169794559479,0.4,0.625
check_in,20,0.45,0.9,0.4241929307579994,0.2044529777020216,0.25,0.4
lounge,20,0.7,0.9,0.7243086591362953,0.5697962341830134,0.9,0.7222222222222222
restaurant,20,0.85,0.9,0.7803938090801239,0.6636647409643046,0.85,0.8823529411764706
information,20,0.75,0.95,0.5278144620358944,0.3484553128480911,0.55,0.7272727272727273
transport,20,0.7,0.95,0.6578958123922348,0.45592115661129357,0.75,0.7333333333333333
accessibility,20,0.75,0.9,0.8022293508052826,0.6641724590508602,0.9,0.8333333333333334
family_facility,20,0.7,0.9,0.7418966174125672,0.5857086959193112,0.7,0.8571428571428571
